CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
41617898,CARVE CAFE PIZZA,Manhattan,717,8 AVENUE,10036.0,2122455111,Chicken,06/22/2022,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10.0,A,06/22/2022,11/30/2024,Cycle Inspection / Initial Inspection,40.759256602964,-73.988329905269,104.0,3.0,12100.0,1025011.0,1010360029.0,MN15,
50137719,Margari Pizza,Manhattan,1072,2 AVENUE,10022.0,5163957571,Pizza,08/08/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,10.0,A,08/08/2023,11/30/2024,Pre-permit (Operational) / Initial Inspection,40.758900702636,-73.965571058131,106.0,5.0,10800.0,1039978.0,1013490003.0,MN19,
50005760,BLUESTONE LAKESIDE CAFE,Brooklyn,171,EAST DRIVE,11226.0,7184620065,American,03/07/2022,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,03/07/2022,11/30/2024,Cycle Inspection / Re-inspection,40.658232841937,-73.963363384608,355.0,39.0,17700.0,3391508.0,3011170001.0,BK99,
50069439,PARCEROS BAKERY & COFFEE SHOP,Queens,6354,WOODHAVEN BLVD,11374.0,7184248444,Latin American,04/26/2022,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,39.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.723115171681,-73.868101901079,405.0,30.0,67900.0,4069638.0,4030000023.0,QN21,
41622578,INSOMNIA COOKIES,Manhattan,482,3 AVENUE,10016.0,2153831320,Bakery Products/Desserts,08/17/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,08/17/2021,11/30/2024,Cycle Inspection / Initial Inspection,40.744867195302,-73.978754422393,106.0,4.0,7200.0,1018483.0,1008880044.0,MN20,
50084290,ARIA WEST VILLAGE,Manhattan,14-16,BEDFORD STREET,10014.0,2122424233,Italian,11/13/2024,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,24.0,Z,11/13/2024,11/30/2024,Cycle Inspection / Re-inspection,40.72907299313,-74.003492581242,102.0,3.0,6700.0,1008347.0,1005270007.0,MN23,
50100861,CAPITAL RESTAURANT,Manhattan,4933,BROADWAY,10034.0,2129425090,American,02/09/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,21.0,B,02/09/2023,11/30/2024,Cycle Inspection / Re-inspection,40.867560009695,-73.921596107905,112.0,10.0,29500.0,1064984.0,1022410024.0,MN01,
50003326,COVENHOVEN,Brooklyn,730,CLASSON AVENUE,11238.0,6468947777,American,06/14/2024,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,20.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.675186199066,-73.95996883516,308.0,35.0,30500.0,3028960.0,3011620056.0,BK61,
50052932,DUNKIN,Queens,6906,ROOSEVELT AVE,11377.0,3476100630,Donuts,11/23/2021,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,10.0,A,11/23/2021,11/30/2024,Cycle Inspection / Initial Inspection,40.746337270611,-73.896148051299,402.0,26.0,26300.0,4030349.0,4013010027.0,QN63,
41705612,PEACEFOOD DOWNTOWN,Manhattan,41,EAST   11 STREET,10003.0,2129792288,Vegan,05/16/2022,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,39.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.733233905647,-73.993147905438,102.0,2.0,6100.0,1009127.0,1005630001.0,MN23,
50097645,HAVANA TACOS,Manhattan,210-220,NAGLE AVE,10034.0,6467720271,Tex-Mex,12/06/2023,Violations were cited in the following area(s).,06B,"Tobacco or electronic cigarette use, eating, or drinking from open container in food preparation, food storage or dishwashing area.",Critical,22.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.862258089071,-73.922921964749,112.0,10.0,29100.0,1064714.0,1022170033.0,MN01,
50133027,HIGHLINE PIZZA NYC,Manhattan,503,WEST   28 STREET,10001.0,2125643330,Pizza,05/28/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,33.0,C,05/28/2024,11/30/2024,Cycle Inspection / Re-inspection,40.750948788445,-74.002161927492,104.0,3.0,9900.0,1012421.0,1007000029.0,MN13,
50097045,CHAIRMAN SUN,Queens,4730,VERNON BLVD,11101.0,2129676088,Chinese,10/26/2022,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,65.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.744642891269,-73.953470644374,402.0,26.0,700.0,4000105.0,4000300047.0,QN31,
41129085,DUNKIN,Staten Island,1445,RICHMOND AVENUE,10314.0,3473020671,Donuts,09/20/2022,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,13.0,A,09/20/2022,11/30/2024,Cycle Inspection / Initial Inspection,40.613111633522,-74.15863902157,502.0,50.0,29104.0,5151350.0,5015440100.0,SI05,
50054403,KUNG FU LITTLE STEAMED BUNS RAMEN,Manhattan,811,8 AVENUE,10019.0,9173882555,Asian/Asian Fusion,08/02/2021,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,66.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.761523592507,-73.986668997089,104.0,3.0,12700.0,1025144.0,1010390032.0,MN15,
50106843,LA CASA DEL SABOR,Queens,3702,BROADWAY,11103.0,7187915035,Latin American,11/17/2021,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10.0,A,11/17/2021,11/30/2024,Pre-permit (Operational) / Re-inspection,40.759649587258,-73.92047105327,401.0,22.0,5900.0,4010340.0,4006550034.0,QN70,
40392872,MOLLY'S,Manhattan,287,3 AVENUE,10010.0,2128893361,Irish,01/05/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,29.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.738373862011,-73.983465650986,106.0,2.0,6400.0,1019650.0,1009030003.0,MN21,
50036709,CHINA DELIGHT,Brooklyn,722,4 AVENUE,11232.0,7187880888,Chinese,06/27/2023,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,23.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.661727265553,-73.996712803803,307.0,38.0,14500.0,3009398.0,3006450041.0,BK32,
50102087,FUNNY BBQ BAR,Brooklyn,818,54 STREET,11220.0,7186336868,Chinese,08/28/2024,Violations were cited in the following area(s).,02H,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.",Critical,11.0,A,08/28/2024,11/30/2024,Cycle Inspection / Re-inspection,40.638495364319,-74.005433508117,312.0,38.0,10600.0,3327707.0,3056720013.0,BK34,
50131066,SURAM,Manhattan,483,10 AVENUE,10018.0,9173593432,Japanese,08/29/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,08/29/2023,11/30/2024,Pre-permit (Operational) / Initial Inspection,40.75639439225,-73.99783428556,104.0,3.0,9900.0,1012494.0,1007080037.0,MN13,
50120023,WONDER ROOM COFFEE,Brooklyn,7904,3 AVENUE,11209.0,6468121101,Coffee/Tea,03/07/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,03/07/2023,11/30/2024,Cycle Inspection / Initial Inspection,40.628429438393,-74.02904037019,310.0,47.0,6400.0,3150824.0,3059780041.0,BK31,
50118792,DIG,Manhattan,630,3 AVENUE,10017.0,2125457867,American,07/13/2023,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13.0,A,07/13/2023,11/30/2024,Pre-permit (Operational) / Initial Inspection,40.74979057691,-73.975165336169,106.0,4.0,8000.0,1036149.0,1012950040.0,MN20,
50062684,KESTE WALL STREET,Manhattan,77,FULTON STREET,10038.0,2126939030,Pizza,01/20/2022,Violations were cited in the following area(s).,22E,ROP processing equipment not approved by DOHMH.,Not Critical,,,,11/30/2024,Administrative Miscellaneous / Initial Inspection,40.708830267209,-74.00517595685,101.0,1.0,1501.0,1090791.0,1000940001.0,MN25,
50079591,ANTIKA PIZZERIA,Queens,3608,30TH AVE,11103.0,7185450555,Italian,10/20/2022,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,33.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.76492821218,-73.917230174862,401.0,22.0,6300.0,4010011.0,4006510044.0,QN70,
41681367,JUMBO CHINESE KITCHEN,Queens,113-04,JAMAICA AVENUE,11418.0,7184415946,Chinese,09/06/2022,Establishment re-closed by DOHMH.,04M,Live roaches in facility's food or non-food area.,Critical,11.0,,,11/30/2024,Cycle Inspection / Reopening Inspection,40.697892476017,-73.835492890193,409.0,29.0,12400.0,4194942.0,4093030002.0,QN54,
50113015,JERRELL'S BETR BRGR,Manhattan,117,6 AVENUE,10013.0,3475228049,Vegan,04/24/2024,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,46.0,C,04/24/2024,11/30/2024,Cycle Inspection / Re-inspection,40.723800252927,-74.004729762755,102.0,1.0,3700.0,1088003.0,1004770064.0,MN24,
40945916,CALIBELLA BAKERY,Brooklyn,164,WYCKOFF AVENUE,11237.0,7184973614,Bakery Products/Desserts,12/06/2021,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,25.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.702382461844,-73.916164840577,304.0,37.0,44300.0,3075160.0,3032900029.0,BK77,
50125530,LOKUM MEDITERRANEAN RESTAURANT AND BAR,Brooklyn,2027,EMMONS AVENUE,11235.0,9738419440,Mediterranean,10/11/2023,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,A,10/11/2023,11/30/2024,Pre-permit (Operational) / Re-inspection,40.583719371089,-73.947232518173,315.0,48.0,60800.0,3392752.0,3087790053.0,BK17,
50103059,"SAFI KITCHEN,",Queens,2301,BORDEN AVE,11101.0,7187868292,American,03/10/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,19.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.739932932258,-73.94725266915,402.0,26.0,100.0,4000752.0,4001050001.0,QN31,
50090372,THE WILSON,Manhattan,132,WEST   27 STREET,10001.0,2125292671,American,07/27/2022,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,07/27/2022,11/30/2024,Cycle Inspection / Initial Inspection,40.745859745971,-73.99204948071,105.0,3.0,9500.0,1015052.0,1008020061.0,MN17,
40386556,WESTSIDE RESTAURANT,Manhattan,2020,BROADWAY,10023.0,2127244000,American,05/21/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,29.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.776410532869,-73.982123853828,107.0,6.0,15300.0,1029632.0,1011410013.0,MN14,
50107101,MISTA OH,Manhattan,41,WEST   24 STREET,10010.0,3475379363,Korean,05/09/2024,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,36.0,Z,05/09/2024,11/30/2024,Cycle Inspection / Re-inspection,40.742856869389,-73.990635195605,105.0,3.0,5800.0,1015594.0,1008260016.0,MN13,
50108963,TENGRI TAGH UYGHUR CUSINE,Manhattan,144,WEST   37 STREET,10018.0,3392248555,Chinese,11/22/2021,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,39.0,,,11/30/2024,Pre-permit (Operational) / Initial Inspection,40.752433115397,-73.988179514307,105.0,3.0,10900.0,1015248.0,1008120068.0,MN17,
40978834,68 JAY STREET BAR,Brooklyn,68,JAY STREET,11201.0,7182608207,American,07/30/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,10.0,A,07/30/2024,11/30/2024,Cycle Inspection / Initial Inspection,40.702755433401,-73.986680794315,302.0,33.0,2100.0,3000090.0,3000400001.0,BK38,
50134447,PERI PERI FLAMING GRILL,Brooklyn,485,LORIMER STREET,11211.0,3475930088,Portuguese,05/15/2023,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,18.0,N,,11/30/2024,Pre-permit (Non-operational) / Initial Inspection,40.711456745762,-73.94895258334,301.0,34.0,51300.0,3069319.0,3027790027.0,BK73,
